Country Name,Indicator Name,Year,Value
Euro area,Imports of goods and services (% of GDP),1952,
Europe & Central Asia,CO2 emissions (metric tons per capita),1952,
Europe & Central Asia,Domestic credit provided by financial sector (% of GDP),1952,
Europe & Central Asia,Electric power consumption (kWh per capita),1952,
Europe & Central Asia,Energy use (kg of oil equivalent per capita),1952,
Europe & Central Asia,Exports of goods and services (% of GDP),1952,
Europe & Central Asia,Imports of goods and services (% of GDP),1952,
Europe & Central Asia (excluding high income),CO2 emissions (metric tons per capita),1952,
Europe & Central Asia (excluding high income),Domestic credit provided by financial sector (% of GDP),1952,
Europe & Central Asia (excluding high income),Electric power consumption (kWh per capita),1952,
Europe & Central Asia (excluding high income),Energy use (kg of oil equivalent per capita),1952,
Europe & Central Asia (excluding high income),Exports of goods and services (% of GDP),1952,
Europe & Central Asia (excluding high income),Imports of goods and services (% of GDP),1952,
Europe & Central Asia (IDA & IBRD countries),CO2 emissions (metric tons per capita),1952,
Europe & Central Asia (IDA & IBRD countries),Domestic credit provided by financial sector (% of GDP),1952,
Europe & Central Asia (IDA & IBRD countries),Electric power consumption (kWh per capita),1952,
Europe & Central Asia (IDA & IBRD countries),Energy use (kg of oil equivalent per capita),1952,
Europe & Central Asia (IDA & IBRD countries),Exports of goods and services (% of GDP),1952,
Europe & Central Asia (IDA & IBRD countries),Imports of goods and services (% of GDP),1952,
European Union,CO2 emissions (metric tons per capita),1952,
European Union,Domestic credit provided by financial sector (% of GDP),1952,
European Union,Electric power consumption (kWh per capita),1952,
European Union,Energy use (kg of oil equivalent per capita),1952,
European Union,Exports of goods and services (% of GDP),1952,
European Union,Imports of goods and services (% of GDP),1952,
Fragile and conflict affected situations,CO2 emissions (metric tons per capita),1952,
Fragile and conflict affected situations,Domestic credit provided by financial sector (% of GDP),1952,
Fragile and conflict affected situations,Electric power consumption (kWh per capita),1952,
Fragile and conflict affected situations,Energy use (kg of oil equivalent per capita),1952,
Fragile and conflict affected situations,Exports of goods and services (% of GDP),1952,
Fragile and conflict affected situations,Imports of goods and services (% of GDP),1952,
Heavily indebted poor countries (HIPC),CO2 emissions (metric tons per capita),1952,
Heavily indebted poor countries (HIPC),Domestic credit provided by financial sector (% of GDP),1952,
Heavily indebted poor countries (HIPC),Electric power consumption (kWh per capita),1952,
Heavily indebted poor countries (HIPC),Energy use (kg of oil equivalent per capita),1952,
Heavily indebted poor countries (HIPC),Exports of goods and services (% of GDP),1952,
Heavily indebted poor countries (HIPC),Imports of goods and services (% of GDP),1952,
High income,CO2 emissions (metric tons per capita),1952,
High income,Domestic credit provided by financial sector (% of GDP),1952,
High income,Electric power consumption (kWh per capita),1952,
High income,Energy use (kg of oil equivalent per capita),1952,
High income,Exports of goods and services (% of GDP),1952,
High income,Imports of goods and services (% of GDP),1952,
IBRD only,CO2 emissions (metric tons per capita),1952,
IBRD only,Domestic credit provided by financial sector (% of GDP),1952,
IBRD only,Electric power consumption (kWh per capita),1952,
IBRD only,Energy use (kg of oil equivalent per capita),1952,
IBRD only,Exports of goods and services (% of GDP),1952,
IBRD only,Imports of goods and services (% of GDP),1952,
IDA & IBRD total,CO2 emissions (metric tons per capita),1952,
IDA & IBRD total,Domestic credit provided by financial sector (% of GDP),1952,
IDA & IBRD total,Electric power consumption (kWh per capita),1952,
IDA & IBRD total,Energy use (kg of oil equivalent per capita),1952,
IDA & IBRD total,Exports of goods and services (% of GDP),1952,
IDA & IBRD total,Imports of goods and services (% of GDP),1952,
IDA blend,CO2 emissions (metric tons per capita),1952,
IDA blend,Domestic credit provided by financial sector (% of GDP),1952,
IDA blend,Electric power consumption (kWh per capita),1952,
IDA blend,Energy use (kg of oil equivalent per capita),1952,
IDA blend,Exports of goods and services (% of GDP),1952,
IDA blend,Imports of goods and services (% of GDP),1952,
IDA only,CO2 emissions (metric tons per capita),1952,
IDA only,Domestic credit provided by financial sector (% of GDP),1952,
IDA only,Electric power consumption (kWh per capita),1952,
IDA only,Energy use (kg of oil equivalent per capita),1952,
IDA only,Exports of goods and services (% of GDP),1952,
IDA only,Imports of goods and services (% of GDP),1952,
IDA total,CO2 emissions (metric tons per capita),1952,
IDA total,Domestic credit provided by financial sector (% of GDP),1952,
IDA total,Electric power consumption (kWh per capita),1952,
IDA total,Energy use (kg of oil equivalent per capita),1952,
IDA total,Exports of goods and services (% of GDP),1952,
IDA total,Imports of goods and services (% of GDP),1952,
Late-demographic dividend,CO2 emissions (metric tons per capita),1952,
Late-demographic dividend,Domestic credit provided by financial sector (% of GDP),1952,
Late-demographic dividend,Electric power consumption (kWh per capita),1952,
Late-demographic dividend,Energy use (kg of oil equivalent per capita),1952,
Late-demographic dividend,Exports of goods and services (% of GDP),1952,
Late-demographic dividend,Imports of goods and services (% of GDP),1952,
Latin America & Caribbean,CO2 emissions (metric tons per capita),1952,
Latin America & Caribbean,Domestic credit provided by financial sector (% of GDP),1952,
Latin America & Caribbean,Electric power consumption (kWh per capita),1952,
Latin America & Caribbean,Energy use (kg of oil equivalent per capita),1952,
Latin America & Caribbean,Exports of goods and services (% of GDP),1952,
Latin America & Caribbean,Imports of goods and services (% of GDP),1952,
Latin America & Caribbean (excluding high income),CO2 emissions (metric tons per capita),1952,
Latin America & Caribbean (excluding high income),Domestic credit provided by financial sector (% of GDP),1952,
Latin America & Caribbean (excluding high income),Electric power consumption (kWh per capita),1952,
Latin America & Caribbean (excluding high income),Energy use (kg of oil equivalent per capita),1952,
Latin America & Caribbean (excluding high income),Exports of goods and services (% of GDP),1952,
Latin America & Caribbean (excluding high income),Imports of goods and services (% of GDP),1952,
Latin America & the Caribbean (IDA & IBRD countries),CO2 emissions (metric tons per capita),1952,
Latin America & the Caribbean (IDA & IBRD countries),Domestic credit provided by financial sector (% of GDP),1952,
Latin America & the Caribbean (IDA & IBRD countries),Electric power consumption (kWh per capita),1952,
Latin America & the Caribbean (IDA & IBRD countries),Energy use (kg of oil equivalent per capita),1952,
Latin America & the Caribbean (IDA & IBRD countries),Exports of goods and services (% of GDP),1952,
Latin America & the Caribbean (IDA & IBRD countries),Imports of goods and services (% of GDP),1952,
Least developed countries: UN classification,CO2 emissions (metric tons per capita),1952,
Least developed countries: UN classification,Domestic credit provided by financial sector (% of GDP),1952,
Least developed countries: UN classification,Electric power consumption (kWh per capita),1952,
Least developed countries: UN classification,Energy use (kg of oil equivalent per capita),1952,
Least developed countries: UN classification,Exports of goods and services (% of GDP),1952,
Least developed countries: UN classification,Imports of goods and services (% of GDP),1952,
Low & middle income,CO2 emissions (metric tons per capita),1952,
Low & middle income,Domestic credit provided by financial sector (% of GDP),1952,
Low & middle income,Electric power consumption (kWh per capita),1952,
Low & middle income,Energy use (kg of oil equivalent per capita),1952,
Low & middle income,Exports of goods and services (% of GDP),1952,
Low & middle income,Imports of goods and services (% of GDP),1952,
Low income,CO2 emissions (metric tons per capita),1952,
Low income,Domestic credit provided by financial sector (% of GDP),1952,
Low income,Electric power consumption (kWh per capita),1952,
Low income,Energy use (kg of oil equivalent per capita),1952,
Low income,Exports of goods and services (% of GDP),1952,
Low income,Imports of goods and services (% of GDP),1952,
Lower middle income,CO2 emissions (metric tons per capita),1952,
Lower middle income,Domestic credit provided by financial sector (% of GDP),1952,
Lower middle income,Electric power consumption (kWh per capita),1952,
Lower middle income,Energy use (kg of oil equivalent per capita),1952,
Lower middle income,Exports of goods and services (% of GDP),1952,
Lower middle income,Imports of goods and services (% of GDP),1952,
Middle East & North Africa,CO2 emissions (metric tons per capita),1952,
Middle East & North Africa,Domestic credit provided by financial sector (% of GDP),1952,
Middle East & North Africa,Electric power consumption (kWh per capita),1952,
Middle East & North Africa,Energy use (kg of oil equivalent per capita),1952,
Middle East & North Africa,Exports of goods and services (% of GDP),1952,
Middle East & North Africa,Imports of goods and services (% of GDP),1952,
Middle East & North Africa (excluding high income),CO2 emissions (metric tons per capita),1952,
Middle East & North Africa (excluding high income),Domestic credit provided by financial sector (% of GDP),1952,
Middle East & North Africa (excluding high income),Electric power consumption (kWh per capita),1952,
Middle East & North Africa (excluding high income),Energy use (kg of oil equivalent per capita),1952,
Middle East & North Africa (excluding high income),Exports of goods and services (% of GDP),1952,
Middle East & North Africa (excluding high income),Imports of goods and services (% of GDP),1952,
Middle East & North Africa (IDA & IBRD countries),CO2 emissions (metric tons per capita),1952,
Middle East & North Africa (IDA & IBRD countries),Domestic credit provided by financial sector (% of GDP),1952,
Middle East & North Africa (IDA & IBRD countries),Electric power consumption (kWh per capita),1952,
Middle East & North Africa (IDA & IBRD countries),Energy use (kg of oil equivalent per capita),1952,
Middle East & North Africa (IDA & IBRD countries),Exports of goods and services (% of GDP),1952,
Middle East & North Africa (IDA & IBRD countries),Imports of goods and services (% of GDP),1952,
Middle income,CO2 emissions (metric tons per capita),1952,
Middle income,Domestic credit provided by financial sector (% of GDP),1952,
Middle income,Electric power consumption (kWh per capita),1952,
Middle income,Energy use (kg of oil equivalent per capita),1952,
Middle income,Exports of goods and services (% of GDP),1952,
Middle income,Imports of goods and services (% of GDP),1952,
North America,CO2 emissions (metric tons per capita),1952,
North America,Domestic credit provided by financial sector (% of GDP),1952,
North America,Electric power consumption (kWh per capita),1952,
North America,Energy use (kg of oil equivalent per capita),1952,
North America,Exports of goods and services (% of GDP),1952,
North America,Imports of goods and services (% of GDP),1952,
Not classified,CO2 emissions (metric tons per capita),1952,
Not classified,Domestic credit provided by financial sector (% of GDP),1952,
Not classified,Electric power consumption (kWh per capita),1952,
Not classified,Energy use (kg of oil equivalent per capita),1952,
Not classified,Exports of goods and services (% of GDP),1952,
Not classified,Imports of goods and services (% of GDP),1952,
OECD members,CO2 emissions (metric tons per capita),1952,
OECD members,Domestic credit provided by financial sector (% of GDP),1952,
OECD members,Electric power consumption (kWh per capita),1952,
OECD members,Energy use (kg of oil equivalent per capita),1952,
OECD members,Exports of goods and services (% of GDP),1952,
OECD members,Imports of goods and services (% of GDP),1952,
Other small states,CO2 emissions (metric tons per capita),1952,
Other small states,Domestic credit provided by financial sector (% of GDP),1952,
Other small states,Electric power consumption (kWh per capita),1952,
Other small states,Energy use (kg of oil equivalent per capita),1952,
Other small states,Exports of goods and services (% of GDP),1952,
Other small states,Imports of goods and services (% of GDP),1952,
Pacific island small states,CO2 emissions (metric tons per capita),1952,
Pacific island small states,Domestic credit provided by financial sector (% of GDP),1952,
Pacific island small states,Electric power consumption (kWh per capita),1952,
Pacific island small states,Energy use (kg of oil equivalent per capita),1952,
Pacific island small states,Exports of goods and services (% of GDP),1952,
Pacific island small states,Imports of goods and services (% of GDP),1952,
Post-demographic dividend,CO2 emissions (metric tons per capita),1952,
Post-demographic dividend,Domestic credit provided by financial sector (% of GDP),1952,
Post-demographic dividend,Electric power consumption (kWh per capita),1952,
Post-demographic dividend,Energy use (kg of oil equivalent per capita),1952,
Post-demographic dividend,Exports of goods and services (% of GDP),1952,
Post-demographic dividend,Imports of goods and services (% of GDP),1952,
Pre-demographic dividend,CO2 emissions (metric tons per capita),1952,
Pre-demographic dividend,Domestic credit provided by financial sector (% of GDP),1952,
Pre-demographic dividend,Electric power consumption (kWh per capita),1952,
Pre-demographic dividend,Energy use (kg of oil equivalent per capita),1952,
Pre-demographic dividend,Exports of goods and services (% of GDP),1952,
Pre-demographic dividend,Imports of goods and services (% of GDP),1952,
Small states,CO2 emissions (metric tons per capita),1952,
Small states,Domestic credit provided by financial sector (% of GDP),1952,
Small states,Electric power consumption (kWh per capita),1952,
Small states,Energy use (kg of oil equivalent per capita),1952,
Small states,Exports of goods and services (% of GDP),1952,
Small states,Imports of goods and services (% of GDP),1952,
South Asia,CO2 emissions (metric tons per capita),1952,
South Asia,Domestic credit provided by financial sector (% of GDP),1952,
South Asia,Electric power consumption (kWh per capita),1952,
South Asia,Energy use (kg of oil equivalent per capita),1952,
South Asia,Exports of goods and services (% of GDP),1952,
South Asia,Imports of goods and services (% of GDP),1952,
South Asia (IDA & IBRD),CO2 emissions (metric tons per capita),1952,
South Asia (IDA & IBRD),Domestic credit provided by financial sector (% of GDP),1952,
South Asia (IDA & IBRD),Electric power consumption (kWh per capita),1952,
South Asia (IDA & IBRD),Energy use (kg of oil equivalent per capita),1952,
South Asia (IDA & IBRD),Exports of goods and services (% of GDP),1952,
South Asia (IDA & IBRD),Imports of goods and services (% of GDP),1952,
Sub-Saharan Africa,CO2 emissions (metric tons per capita),1952,
Sub-Saharan Africa,Domestic credit provided by financial sector (% of GDP),1952,
Sub-Saharan Africa,Electric power consumption (kWh per capita),1952,
Sub-Saharan Africa,Energy use (kg of oil equivalent per capita),1952,
Sub-Saharan Africa,Exports of goods and services (% of GDP),1952,
Sub-Saharan Africa,Imports of goods and services (% of GDP),1952,
Sub-Saharan Africa (excluding high income),CO2 emissions (metric tons per capita),1952,
Sub-Saharan Africa (excluding high income),Domestic credit provided by financial sector (% of GDP),1952,
Sub-Saharan Africa (excluding high income),Electric power consumption (kWh per capita),1952,
Sub-Saharan Africa (excluding high income),Energy use (kg of oil equivalent per capita),1952,
Sub-Saharan Africa (excluding high income),Exports of goods and services (% of GDP),1952,
Sub-Saharan Africa (excluding high income),Imports of goods and services (% of GDP),1952,
Sub-Saharan Africa (IDA & IBRD countries),CO2 emissions (metric tons per capita),1952,
Sub-Saharan Africa (IDA & IBRD countries),Domestic credit provided by financial sector (% of GDP),1952,
Sub-Saharan Africa (IDA & IBRD countries),Electric power consumption (kWh per capita),1952,
Sub-Saharan Africa (IDA & IBRD countries),Energy use (kg of oil equivalent per capita),1952,
Sub-Saharan Africa (IDA & IBRD countries),Exports of goods and services (% of GDP),1952,
Sub-Saharan Africa (IDA & IBRD countries),Imports of goods and services (% of GDP),1952,
Upper middle income,CO2 emissions (metric tons per capita),1952,
Upper middle income,Domestic credit provided by financial sector (% of GDP),1952,
Upper middle income,Electric power consumption (kWh per capita),1952,
Upper middle income,Energy use (kg of oil equivalent per capita),1952,
Upper middle income,Exports of goods and services (% of GDP),1952,
Upper middle income,Imports of goods and services (% of GDP),1952,
World,CO2 emissions (metric tons per capita),1952,
World,Domestic credit provided by financial sector (% of GDP),1952,
World,Electric power consumption (kWh per capita),1952,
World,Energy use (kg of oil equivalent per capita),1952,
World,Exports of goods and services (% of GDP),1952,
World,Imports of goods and services (% of GDP),1952,
Afghanistan,CO2 emissions (metric tons per capita),1952,
Afghanistan,Domestic credit provided by financial sector (% of GDP),1952,
Afghanistan,Electric power consumption (kWh per capita),1952,
Afghanistan,Energy use (kg of oil equivalent per capita),1952,
Afghanistan,Exports of goods and services (% of GDP),1952,
Afghanistan,Imports of goods and services (% of GDP),1952,
Albania,CO2 emissions (metric tons per capita),1952,
Albania,Domestic credit provided by financial sector (% of GDP),1952,
Albania,Electric power consumption (kWh per capita),1952,
Albania,Energy use (kg of oil equivalent per capita),1952,
Albania,Exports of goods and services (% of GDP),1952,
Albania,Imports of goods and services (% of GDP),1952,
Algeria,CO2 emissions (metric tons per capita),1952,
Algeria,Domestic credit provided by financial sector (% of GDP),1952,
Algeria,Electric power consumption (kWh per capita),1952,
Algeria,Energy use (kg of oil equivalent per capita),1952,
Algeria,Exports of goods and services (% of GDP),1952,
Algeria,Imports of goods and services (% of GDP),1952,
American Samoa,CO2 emissions (metric tons per capita),1952,
American Samoa,Domestic credit provided by financial sector (% of GDP),1952,
American Samoa,Electric power consumption (kWh per capita),1952,
American Samoa,Energy use (kg of oil equivalent per capita),1952,
American Samoa,Exports of goods and services (% of GDP),1952,
American Samoa,Imports of goods and services (% of GDP),1952,
Andorra,CO2 emissions (metric tons per capita),1952,
Andorra,Domestic credit provided by financial sector (% of GDP),1952,
Andorra,Electric power consumption (kWh per capita),1952,
Andorra,Energy use (kg of oil equivalent per capita),1952,
Andorra,Exports of goods and services (% of GDP),1952,
Andorra,Imports of goods and services (% of GDP),1952,
Angola,CO2 emissions (metric tons per capita),1952,
Angola,Domestic credit provided by financial sector (% of GDP),1952,
Angola,Electric power consumption (kWh per capita),1952,
Angola,Energy use (kg of oil equivalent per capita),1952,
Angola,Exports of goods and services (% of GDP),1952,
Angola,Imports of goods and services (% of GDP),1952,
Antigua and Barbuda,CO2 emissions (metric tons per capita),1952,
Antigua and Barbuda,Domestic credit provided by financial sector (% of GDP),1952,
Antigua and Barbuda,Electric power consumption (kWh per capita),1952,
Antigua and Barbuda,Energy use (kg of oil equivalent per capita),1952,
Antigua and Barbuda,Exports of goods and services (% of GDP),1952,
Antigua and Barbuda,Imports of goods and services (% of GDP),1952,
Argentina,CO2 emissions (metric tons per capita),1952,
Argentina,Domestic credit provided by financial sector (% of GDP),1952,
Argentina,Electric power consumption (kWh per capita),1952,
Argentina,Energy use (kg of oil equivalent per capita),1952,
Argentina,Exports of goods and services (% of GDP),1952,
Argentina,Imports of goods and services (% of GDP),1952,
Armenia,CO2 emissions (metric tons per capita),1952,
Armenia,Domestic credit provided by financial sector (% of GDP),1952,
Armenia,Electric power consumption (kWh per capita),1952,
Armenia,Energy use (kg of oil equivalent per capita),1952,
Armenia,Exports of goods and services (% of GDP),1952,
Armenia,Imports of goods and services (% of GDP),1952,
Aruba,CO2 emissions (metric tons per capita),1952,
Aruba,Domestic credit provided by financial sector (% of GDP),1952,
Aruba,Electric power consumption (kWh per capita),1952,
Aruba,Energy use (kg of oil equivalent per capita),1952,
Aruba,Exports of goods and services (% of GDP),1952,
Aruba,Imports of goods and services (% of GDP),1952,
Australia,CO2 emissions (metric tons per capita),1952,
Australia,Domestic credit provided by financial sector (% of GDP),1952,
Australia,Electric power consumption (kWh per capita),1952,
Australia,Energy use (kg of oil equivalent per capita),1952,
Australia,Exports of goods and services (% of GDP),1952,
Australia,Imports of goods and services (% of GDP),1952,
Austria,CO2 emissions (metric tons per capita),1952,
Austria,Domestic credit provided by financial sector (% of GDP),1952,
Austria,Electric power consumption (kWh per capita),1952,
Austria,Energy use (kg of oil equivalent per capita),1952,
Austria,Exports of goods and services (% of GDP),1952,
Austria,Imports of goods and services (% of GDP),1952,
Azerbaijan,CO2 emissions (metric tons per capita),1952,
Azerbaijan,Domestic credit provided by financial sector (% of GDP),1952,
Azerbaijan,Electric power consumption (kWh per capita),1952,
Azerbaijan,Energy use (kg of oil equivalent per capita),1952,
Azerbaijan,Exports of goods and services (% of GDP),1952,
Azerbaijan,Imports of goods and services (% of GDP),1952,
"Bahamas, The",CO2 emissions (metric tons per capita),1952,
"Bahamas, The",Domestic credit provided by financial sector (% of GDP),1952,
"Bahamas, The",Electric power consumption (kWh per capita),1952,
"Bahamas, The",Energy use (kg of oil equivalent per capita),1952,
"Bahamas, The",Exports of goods and services (% of GDP),1952,
"Bahamas, The",Imports of goods and services (% of GDP),1952,
Bahrain,CO2 emissions (metric tons per capita),1952,
Bahrain,Domestic credit provided by financial sector (% of GDP),1952,
Bahrain,Electric power consumption (kWh per capita),1952,
Bahrain,Energy use (kg of oil equivalent per capita),1952,
Bahrain,Exports of goods and services (% of GDP),1952,
Bahrain,Imports of goods and services (% of GDP),1952,
Bangladesh,CO2 emissions (metric tons per capita),1952,
Bangladesh,Domestic credit provided by financial sector (% of GDP),1952,
Bangladesh,Electric power consumption (kWh per capita),1952,
Bangladesh,Energy use (kg of oil equivalent per capita),1952,
Bangladesh,Exports of goods and services (% of GDP),1952,
Bangladesh,Imports of goods and services (% of GDP),1952,
Barbados,CO2 emissions (metric tons per capita),1952,
Barbados,Domestic credit provided by financial sector (% of GDP),1952,
Barbados,Electric power consumption (kWh per capita),1952,
Barbados,Energy use (kg of oil equivalent per capita),1952,
Barbados,Exports of goods and services (% of GDP),1952,
Barbados,Imports of goods and services (% of GDP),1952,
Belarus,CO2 emissions (metric tons per capita),1952,
Belarus,Domestic credit provided by financial sector (% of GDP),1952,
Belarus,Electric power consumption (kWh per capita),1952,
Belarus,Energy use (kg of oil equivalent per capita),1952,
Belarus,Exports of goods and services (% of GDP),1952,
Belarus,Imports of goods and services (% of GDP),1952,
Belgium,CO2 emissions (metric tons per capita),1952,
Belgium,Domestic credit provided by financial sector (% of GDP),1952,
Belgium,Electric power consumption (kWh per capita),1952,
Belgium,Energy use (kg of oil equivalent per capita),1952,
Belgium,Exports of goods and services (% of GDP),1952,
Belgium,Imports of goods and services (% of GDP),1952,
Belize,CO2 emissions (metric tons per capita),1952,
Belize,Domestic credit provided by financial sector (% of GDP),1952,
Belize,Electric power consumption (kWh per capita),1952,
Belize,Energy use (kg of oil equivalent per capita),1952,
Belize,Exports of goods and services (% of GDP),1952,
Belize,Imports of goods and services (% of GDP),1952,
Benin,CO2 emissions (metric tons per capita),1952,
Benin,Domestic credit provided by financial sector (% of GDP),1952,
Benin,Electric power consumption (kWh per capita),1952,
Benin,Energy use (kg of oil equivalent per capita),1952,
Benin,Exports of goods and services (% of GDP),1952,
Benin,Imports of goods and services (% of GDP),1952,
Bermuda,CO2 emissions (metric tons per capita),1952,
Bermuda,Domestic credit provided by financial sector (% of GDP),1952,
Bermuda,Electric power consumption (kWh per capita),1952,
Bermuda,Energy use (kg of oil equivalent per capita),1952,
Bermuda,Exports of goods and services (% of GDP),1952,
Bermuda,Imports of goods and services (% of GDP),1952,
Bhutan,CO2 emissions (metric tons per capita),1952,
Bhutan,Domestic credit provided by financial sector (% of GDP),1952,
Bhutan,Electric power consumption (kWh per capita),1952,
Bhutan,Energy use (kg of oil equivalent per capita),1952,
Bhutan,Exports of goods and services (% of GDP),1952,
Bhutan,Imports of goods and services (% of GDP),1952,
Bolivia,CO2 emissions (metric tons per capita),1952,
Bolivia,Domestic credit provided by financial sector (% of GDP),1952,
Bolivia,Electric power consumption (kWh per capita),1952,
Bolivia,Energy use (kg of oil equivalent per capita),1952,
Bolivia,Exports of goods and services (% of GDP),1952,
Bolivia,Imports of goods and services (% of GDP),1952,
Bosnia and Herzegovina,CO2 emissions (metric tons per capita),1952,
Bosnia and Herzegovina,Domestic credit provided by financial sector (% of GDP),1952,
Bosnia and Herzegovina,Electric power consumption (kWh per capita),1952,
Bosnia and Herzegovina,Energy use (kg of oil equivalent per capita),1952,
Bosnia and Herzegovina,Exports of goods and services (% of GDP),1952,
Bosnia and Herzegovina,Imports of goods and services (% of GDP),1952,
Botswana,CO2 emissions (metric tons per capita),1952,
Botswana,Domestic credit provided by financial sector (% of GDP),1952,
Botswana,Electric power consumption (kWh per capita),1952,
Botswana,Energy use (kg of oil equivalent per capita),1952,
Botswana,Exports of goods and services (% of GDP),1952,
Botswana,Imports of goods and services (% of GDP),1952,
Brazil,CO2 emissions (metric tons per capita),1952,
Brazil,Domestic credit provided by financial sector (% of GDP),1952,
Brazil,Electric power consumption (kWh per capita),1952,
Brazil,Energy use (kg of oil equivalent per capita),1952,
Brazil,Exports of goods and services (% of GDP),1952,
Brazil,Imports of goods and services (% of GDP),1952,
British Virgin Islands,CO2 emissions (metric tons per capita),1952,
British Virgin Islands,Domestic credit provided by financial sector (% of GDP),1952,
British Virgin Islands,Electric power consumption (kWh per capita),1952,
British Virgin Islands,Energy use (kg of oil equivalent per capita),1952,
British Virgin Islands,Exports of goods and services (% of GDP),1952,
British Virgin Islands,Imports of goods and services (% of GDP),1952,
Brunei Darussalam,CO2 emissions (metric tons per capita),1952,
Brunei Darussalam,Domestic credit provided by financial sector (% of GDP),1952,
Brunei Darussalam,Electric power consumption (kWh per capita),1952,
Brunei Darussalam,Energy use (kg of oil equivalent per capita),1952,
Brunei Darussalam,Exports of goods and services (% of GDP),1952,
Brunei Darussalam,Imports of goods and services (% of GDP),1952,
Bulgaria,CO2 emissions (metric tons per capita),1952,
Bulgaria,Domestic credit provided by financial sector (% of GDP),1952,
Bulgaria,Electric power consumption (kWh per capita),1952,
Bulgaria,Energy use (kg of oil equivalent per capita),1952,
Bulgaria,Exports of goods and services (% of GDP),1952,
Bulgaria,Imports of goods and services (% of GDP),1952,
Burkina Faso,CO2 emissions (metric tons per capita),1952,
Burkina Faso,Domestic credit provided by financial sector (% of GDP),1952,
Burkina Faso,Electric power consumption (kWh per capita),1952,
Burkina Faso,Energy use (kg of oil equivalent per capita),1952,
Burkina Faso,Exports of goods and services (% of GDP),1952,
Burkina Faso,Imports of goods and services (% of GDP),1952,
Burundi,CO2 emissions (metric tons per capita),1952,
Burundi,Domestic credit provided by financial sector (% of GDP),1952,
Burundi,Electric power consumption (kWh per capita),1952,
Burundi,Energy use (kg of oil equivalent per capita),1952,
Burundi,Exports of goods and services (% of GDP),1952,
Burundi,Imports of goods and services (% of GDP),1952,
Cabo Verde,CO2 emissions (metric tons per capita),1952,
Cabo Verde,Domestic credit provided by financial sector (% of GDP),1952,
Cabo Verde,Electric power consumption (kWh per capita),1952,
Cabo Verde,Energy use (kg of oil equivalent per capita),1952,
Cabo Verde,Exports of goods and services (% of GDP),1952,
Cabo Verde,Imports of goods and services (% of GDP),1952,
